,Parent Object,"Object (Heating System, Envelop, Water, etc)",Type,Subtype,Details Category,Data Field,Field Type,"Object Type (Picker,Field Etc)",Dependancy,Formula,Field Unit,Input Requirement,Field Source,Validation Rules,Flag Condition,Multiple choices possible?,Multiple iterations possible?,Elevate Multifamily,NEI Walk Through (NEI Existing Bldg),Michigan,Green Coast,Elevate 2-4,Elevate Non-Profit,Water Only,NEI Existing Conditions (NEI New Con),AHRAE Level 2,Input for Measure Calculation,Reference for Measure Calculation,"If Reference for Measure Calculation, How?"
,,Audit,,,Audit,Date of field visit (actual audit),Date,,,,,Required,System,,,,,,,,,,,,,,,,
,,Audit,,,Auditor,Name,String,,,,,Required,Auditor,,,,x,x,x,,,x,x,x,x,x,,,
,,Audit,,,Auditor,Email Address,Email,,,,,Optional,Auditor,,,,x,x,x,,,x,x,,,,,,
,,Audit,,,Auditor,Phone Number,Phone,,,,,Optional,Auditor,,,,x,x,x,,,x,x,,,,,,
,,Audit,,,Owner Info,Holding Company,String,,,,,Required,Auditor,,,,x,x,,,,x,x,,,,,,
,,Audit,,,Owner Info,Name,String,,,,,Required,Auditor,,,,x,x,,,,x,x,,,,,,
,,Audit,,,Owner Info,Phone Number,Phone,,,,,,,,,,,,,,,,,,,,,,
,,Audit,,,Owner Info,Email Address,Email,,,,,,,,,,,,,,,,,,,,,,
,,Audit,,,Owner Info,Address,String,,,,,Required,Auditor,,,,x,x,,,,x,x,,,,,,
,,Audit,,,Owner Info,City,String,,,,,Required,Auditor,,,,x,x,,,,x,x,,,,,,
,,Audit,,,Owner Info,State,State,,,,,Required,Auditor,,,,x,x,,,,x,x,,,,,,
,,Audit,,,Owner Info,Zip Code,String,,,,,Required,Auditor,,,,x,x,,,,x,x,,,,,,
,,Audit,,,Property Information,Plan View and Notes (Site Plan),Graphic,,,,,Optional,Auditor,,,,x,x,,,,x,x,,,,,x,
,,Audit,,,Property Information,Number of Buildings,Integer,,,,buildings,Required,Auditor,,,,x,x,,,,x,x,,,,,,
,,Audit,,,Property Information,How many mechanical rooms?,Integer,,,,,,,,,,,,,,,,,,,,,,
,,Audit,,,Management Company,Name,String,,,,,Required,Auditor,,,,x,x,,,,x,x,,,,,,
,,Audit,,,Management Company,Management Company,String,,,,,,,,,,,,,,,,,,,,,,
,,Audit,,,Management Company,Phone Number,Phone,,,,,Required,Auditor,,,,x,x,,,,x,x,,,,,,
,,Audit,,,Management Company,Email Address,Email,,,,,Required,Auditor,,,,x,x,,,,x,x,,,,,,
,,Audit,,,Management Company,Address,String,,,,,Required,Auditor,,,,x,x,,,,x,x,,,,,,
,,Audit,,,Management Company,City,String,,,,,Required,Auditor,,,,x,x,,,,x,x,,,,,,
,,Audit,,,Management Company,State,State,,,,,Required,Auditor,,,,x,x,,,,x,x,,,,,,
,,Audit,,,Management Company,Zip Code,String,,,,,Required,Auditor,,,,x,x,,,,x,x,,,,,,
,Audit,Building,,,Characteristics,Year built,Integer,,,,year,Required,Auditor,,,,x,,x,,,,,,x,x,x,,
,Audit,Building,,,Characteristics,Year of last major renovation,Integer,,,,year,,,,,,,,,,,,,,,,,,
,Audit,Building,,,Characteristics,Number of Residential Units,Integer,,,,residential units,Required,Auditor,,,,x,x,x BR,,,x,x,x BR,x BR,x BR,x,,
,Audit,Building,,,Characteristics,Number of Bedrooms,Integer,,,,bedrooms,,,Could build in calculator to add up # of units,,,,,,,,,,,,,,,
,Audit,Building,,,Characteristics,Number of Residential Occupants,Integer,,,,occupants,Required,Auditor,,,,x,x,,,,x,x,,,,,,
,Audit,Building,,,Characteristics,Number of Commercial Units,Integer,,,,commercial units,Required,Auditor,,,,x,x,,,,x,x,,,,,x,
,Audit,Building,,,Characteristics,Number of Heated Floors,Integer,,,,floors,Required,Auditor,,,,x,x,,,,x,x,,,,x,,
,Audit,Building,,,Characteristics,Length of North wall(s),Decimal,,,,ft,Required,Auditor,,,,x,x,,,,x,x,,,,x,,
,Audit,Building,,,Characteristics,Length of East Wall(s),Decimal,,,,ft,Required,Auditor,,,,x,x,,,,x,x,,,,x,,
,Audit,Building,,,Characteristics,Length of South Wall(s),Decimal,,,0,ft,Required,Auditor,,,,x,x,,,,x,x,,,,x,,
,Audit,Building,,,Characteristics,Building Length of West Wall(s),Decimal,,,0,ft,Required,Auditor,,,,x,x,,,,x,x,,,,x,,
,Audit,Building,,,Characteristics,Length of Shared Wall,Decimal,,,,ft,Required,Auditor,,,,x,x,,,,x,x,,,,x,,
,Audit,Building,,,Characteristics,Diabatic Wall Area,Decimal,,,,ft,Required,Auditor,,,,x,x,,,,x,x,,,,x,,
,Audit,Building,,,Characteristics,Roof Area,Decimal,,,,ft2,Required,Auditor,,,,x,x,x,,,x,x,,x,x,x,,
,Audit,Building,,,Characteristics,Gross Square Footage,Decimal,,,,ft2,Required,Auditor or Sum of Conditioned/Unconditioned,,,,x,x,x,,,x,x,,x,x,x,,
,Audit,Building,,,Characteristics,Conditioned Square Footage,Decimal,,,,ft2,Required,Auditor,,,,x,x,,,,x,x,,,,x,,
,Audit,Building,,,Characteristics,Unconditioned Square Footage,Decimal,,,,ft3,Required,Auditor,,,,x,x,,,,x,x,,,,x,,
,Audit,Building,,,Characteristics,Above Grade Height,Decimal,,,,feet,Optional,,,,,x,x,,,,x,x,,,x?,x,,
,Audit,Building,,,Utility data,Gas Baseload Therms,Decimal,,,,therms/year,Required,WegoWise,,,,x,x,,,,x,x,,,,,,
,Audit,Building,,,Utility data,Gas Baseload EUI,Decimal,,,,kbtu/HDD/year,Required,WegoWise,,,,x,x,,,,x,x,,,,,,
,Audit,Building,,,Utility data,Gas Heating Load Therms,Decimal,,,,therms/year,Required,WegoWise,,,,x,x,,,,x,x,,,,,,
,Audit,Building,,,Utility data,Gas Heating Load EUI,Decimal,,,,kbtu/HDD/year,Required,WegoWise,,,,x,x,,,,x,x,,,,,,
,Audit,Building,,,Utility data,Gas Total Usage Therms,Decimal,,,,therms/year,Required,WegoWise,,,,x,x,x,,,x,x,,,x,,,
